Item;model;BadMachine;Input;StraightRate;BeginDate;EndDate
1;PD2542PF_BR;9;0;--;2026/4/1;2026/5/1
2;PD2533HF_BR;352;6103;94.23%;2026/4/1;2026/5/1
3;PD2560NF_BR;26;1990;98.69%;2026/4/1;2026/5/1
4;PD2510DF_BR;190;3157;93.98%;2026/4/1;2026/5/1
5;PD2510ZF_BR;15;1;--;2026/4/1;2026/5/1
6;PD2533MF_BR;81;4;--;2026/4/1;2026/5/1
7;PD2533ZF_BR;58;1108;94.77%;2026/4/1;2026/5/1
8;PD2539TF_BR;103;2599;96.04%;2026/4/1;2026/5/1
9;PD2420YF_BR;66;4617;98.57%;2026/4/1;2026/5/1
10;PD2539RF_BR;14;32;56.25%;2026/4/1;2026/5/1
11;PD2541YF_BR;6;199;96.98%;2026/4/1;2026/5/1
12;PD2512IF_BR;69;1367;94.95%;2026/4/1;2026/5/1
13;PD2542RF_BR;30;1489;97.99%;2026/4/1;2026/5/1
