Item;model;BadMachine;Input;StraightRate;BeginDate;EndDate
1;PD2533HF_BR;112;4009;97.21%;2026/5/1;2026/6/1
2;PD2560NF_BR;1;0;--;2026/5/1;2026/6/1
3;PD2510DF_BR;51;3002;98.3%;2026/5/1;2026/6/1
4;PD2510ZF_BR;10;866;98.85%;2026/5/1;2026/6/1
5;PD2533MF_BR;4;0;--;2026/5/1;2026/6/1
6;PD2533ZF_BR;1;0;--;2026/5/1;2026/6/1
7;PD2539TF_BR;17;719;97.64%;2026/5/1;2026/6/1
8;PD2420YF_BR;43;1501;97.14%;2026/5/1;2026/6/1
9;PD2539RF_BR;3;3;0%;2026/5/1;2026/6/1
10;PD2541YF_BR;66;1996;96.69%;2026/5/1;2026/6/1
11;PD2512IF_BR;63;0;--;2026/5/1;2026/6/1
12;PD2527PF_BR;0;5;100%;2026/5/1;2026/6/1
