Item;model;BadMachine;Input;StraightRate;BeginDate;EndDate
1;PD2542PF_BR;35;1509;97.68%;2026/6/1;2026/7/1
2;PD2533HF_BR;109;4615;97.64%;2026/6/1;2026/7/1
3;PD2510DF_BR;36;1029;96.5%;2026/6/1;2026/7/1
4;PD2510ZF_BR;15;136;88.97%;2026/6/1;2026/7/1
5;PD2527PF_BR;51;955;94.66%;2026/6/1;2026/7/1
6;PD2533MF_BR;2;2;0%;2026/6/1;2026/7/1
7;PD2539TF_BR;39;1271;96.93%;2026/6/1;2026/7/1
8;PD2539RF_BR;20;336;94.05%;2026/6/1;2026/7/1
9;PD2541YF_BR;66;5192;98.73%;2026/6/1;2026/7/1
10;PD2542RF_BR;13;410;96.83%;2026/6/1;2026/7/1
11;PD2533ZF_BR;0;1;100%;2026/6/1;2026/7/1
